id,artifact,criterion,gold,split,source_tag
001,Handoff: bash scripts/verify.sh; exit 0. stdout ends with PASS: required files present. Diffstat is experiments/jev-pilot-b only.,bash scripts/verify.sh exits 0.,pass,calibrate,gxp
002,git diff main -- core/workflow.md is empty. Commit subject: fill Pilot B G1 labels. No other core/ paths in the index.,core/workflow.md is untouched versus main.,pass,calibrate,gxp
003,Label-sheet commit message lists synthetic placeholders only. git grep -n 'REDACTED' data/labels.jsonl finds tokens; no live key files added.,The experiment diff contains no secrets.,pass,holdout,gxp
004,git diff main -- adapters/grok-bot exits 0 with no output. Adapter SKILL.md and cursor-handoff.md timestamps unchanged.,adapters/grok-bot has an empty diff versus main.,pass,calibrate,gxp
005,Named verify log: bash experiments/jev-pilot-b/verify.sh → exit 0. unittest discover reported 4 test modules OK.,bash experiments/jev-pilot-b/verify.sh exits 0.,pass,calibrate,gxp
006,"types.py defines Decision, DecideInput, DecideResult, DecisionProvider. No JevCheck* names in that public module. grep of types.py for jev_check is empty.",Public decision types have no vendor-specific type names.,pass,holdout,gxp
007,"Phase 5 table lists 6 binding ISC rows, each marked pass or fail. No row left blank. Smoke suite exit 0 noted as necessary not sufficient.",Phase 5 records pass or fail for every binding Ideal State Criterion.,pass,calibrate,gxp
008,"data/labels.jsonl header-equivalent keys per line: id, artifact, criterion, gold, split, source_tag. Loader parse_row accepts all 120 lines.","Every label row includes id, artifact, criterion, gold, split, and source_tag.",pass,calibrate,gxp
009,"cascade.py CASCADE_ORDER == ('rules', 'jev', 'llm', 'human'). README cascade section lists the same four names in that order.","Cascade order is rules, then jev, then llm, then human.",pass,holdout,gxp
010,"PR files: experiments/jev-pilot-b/README.md, data/labels.jsonl, tests/test_labels_and_readme.py. No adapters/grok-bot or WorkshopOS paths.",This change does not wire a product bot.,pass,calibrate,gxp
011,"Layer 1: bash scripts/verify.sh exit 0. Layer 2: python -c asserts 120 rows, 80/40 split, gold set complete. Both commands in the handoff.",Two-layer verify ran: project suite then criterion-edge checks.,pass,calibrate,gxp
012,git diff --name-only main | grep -v '^experiments/jev-pilot-b/' is empty. Isolation check in verify.sh printed ok.,All changed paths are under experiments/jev-pilot-b/.,pass,holdout,gxp
013,tree search for the two-word nameless-revert phrase under experiments/jev-pilot-b returns no matches. README names inverse as delete the folder / close the PR.,The experiment tree names a concrete inverse and does not use a nameless revert slogan.,pass,calibrate,gxp
014,Handoff lists: (1) unittest discover -s experiments/jev-pilot-b/tests -v → OK; (2) verify.sh isolation vs main → empty extra path list.,Named verify commands are recorded with outcomes.,pass,calibrate,gxp
015,"gate_g1 docstring: one artifact, one Ideal State Criterion string. test_gate_g1_forwards_criterion asserts the question equals the criterion text.",Gate G1 evaluates exactly one criterion per call.,pass,holdout,gxp
016,.gitignore already excludes .env. Commit adds only .env.example with empty JEV_API_KEY=. No filled .env in the tree.,No filled credential file is committed.,pass,calibrate,gxp
017,"README Metrics table includes accuracy, calibration, latency, cost, abstention, disagreement. Each has a one-line meaning.","README lists accuracy, calibration, latency, cost, abstention, and disagreement.",pass,calibrate,gxp
018,HumanProvider.decide returns decision=needs_review and abstained=False. Cascade test_default_order_and_human_terminal asserts that terminal.,The human backend is terminal and does not abstain.,pass,holdout,gxp
019,RulesProvider with empty hooks returns abstained=True. Cascade then calls the next provider. test_empty_hooks_rules_also_abstain is green.,An abstaining rules backend does not emit a final pass or fail.,pass,calibrate,gxp
020,Experiment verify step 1 ran unittest discover; 14 tests OK. Step 2 git diff main -- core/workflow.md adapters/grok-bot empty.,Named verify covers unit tests and the core/adapter isolation guardrail.,pass,calibrate,gxp
021,labels.jsonl line count after stripping blanks is 120. ids are 001 through 120 with no duplicates (sort | uniq -d empty).,The filled label sheet has exactly 120 unique ids.,pass,holdout,gxp
022,Handoff: bash experiments/jev-pilot-b/verify.sh → exit 1. Failure: test_jsonl_template_columns_and_rows AssertionError: 5 != 4.,bash experiments/jev-pilot-b/verify.sh exits 0.,fail,calibrate,gxp
023,git diff main --stat includes core/workflow.md | 26 +- and experiments/jev-pilot-b/README.md. Isolation grep lists core/workflow.md.,core/workflow.md is untouched versus main.,fail,calibrate,gxp
024,"Provider mapping comment: yes→pass, no→fail, uncertain→needs_review. Fixture with verdict=uncertain yields decision=needs_review in test_jev_mapper.",Uncertain check results map to needs_review.,pass,holdout,gxp
025,Patch adds experiments/jev-pilot-b/.env containing JEV_API_KEY=REDACTED_DO_NOT_USE and commits it. .gitignore exception added for that path.,No filled credential file is committed.,fail,calibrate,gxp
026,git diff main -- adapters/grok-bot/SKILL.md shows +8 lines wiring DecisionProvider into the bot skill. Isolation check fails.,adapters/grok-bot has an empty diff versus main.,fail,calibrate,gxp
027,Handoff claims two-layer verify but only records 'npm test' on an unrelated app. No scripts/verify.sh or experiment verify.sh output.,Two-layer verify ran: project suite then criterion-edge checks.,fail,holdout,gxp
